Id,SalePrice
1461,116418.06587028966
1462,156629.4500708304
1463,168093.28041233827
1464,188245.7317408513
1465,236570.49119727028
1466,177875.70406226217
1467,174576.56361637605
1468,170360.17796782614
1469,188296.1175719922
1470,109763.39457334796
1471,181714.93195679257
1472,91900.22719509457
1473,84595.59950533944
1474,139802.63947069316
1475,125351.84287429438
1476,335093.56826272735
1477,270772.04640478373
1478,306591.9559109
1479,294758.4553781444
1480,396349.66866167873
1481,277904.72444839845
1482,241051.66194168784
1483,187781.89733545177
1484,188154.822544083
1485,194541.36607536796
1486,204795.28316092744
1487,297639.47066584177
1488,246595.3834908776
1489,213199.9179906718
1490,205992.24415011768
1491,200625.52907815817
1492,119934.5674623175
1493,179599.21547991873
1494,288857.90455182845
1495,274220.8357212132
1496,222341.69862795383
1497,210240.68873718655
1498,188858.95848015868
1499,176217.0125614522
1500,167870.0817425438
1501,199173.226488958
1502,188644.84580001558
1503,248157.35778729874
1504,239272.86340137618
1505,220589.86125373165
1506,201939.24477271482
1507,227260.588434583
1508,205021.531537362
1509,169568.90609525004
1510,140232.99346857212
1511,139267.33414055637
1512,164343.5559322964
1513,173117.70915435295
1514,147606.82501570365
1515,182080.8375740431
1516,148729.86065173868
1517,161907.09277422001
1518,140535.1427895151
1519,202191.93023705875
1520,132499.6333283302
1521,133951.60663406536
1522,172155.28289635526
1523,118356.10775446196
1524,122665.47656513788
1525,116069.80922583523
1526,100700.35199105265
1527,114858.04392317633
1528,134743.90066703543
1529,144347.02564644115
1530,166090.45047061698
1531,127644.06616866015
1532,75523.61013642656
1533,138334.1052264803
1534,139597.25135194947
1535,140032.24468403345
1536,105011.21405971952
1537,79864.46233542093
1538,171888.90458416726
1539,200340.8200778286
1540,129679.06243797367
1541,134053.15342612803
1542,141839.97273297884
1543,182660.08153258683
1544,70065.96782694102
1545,117625.45661249879
1546,137001.4910532242
1547,108874.18542423335
1548,128524.74478814163
1549,112503.53675045096
1550,138749.4193278056
1551,108569.94635383267
1552,151031.14076327006
1553,145708.0098301521
1554,132149.65058661325
1555,174348.14700658034
1556,155575.69665281594
1557,106227.32326484579
1558,130011.02320052701
1559,116356.69196145178
1560,115826.16810586679
1561,120777.57693023459
1562,134352.335092581
1563,112451.70657713854
1564,142403.30162532796
1565,138659.958285119
1566,235432.84271942268
1567,82525.42564014044
1568,240681.54152386182
1569,139386.1519203704
1570,145256.59351331965
1571,118578.41967205325
1572,132029.89677905437
1573,197252.45370961874
1574,136887.04194883246
1575,221643.68343884134
1576,217097.70641324937
1577,199559.38653545882
1578,171066.22076946392
1579,150399.46549255698
1580,201795.84814323983
1581,153620.21608979176
1582,135181.83208065527
1583,259077.4662807189
1584,226162.37587469365
1585,154407.52071700498
1586,72557.27968375888
1587,116084.63536459158
1588,137882.30740880422
1589,112446.44151970986
1590,133057.12592519677
1591,101434.53629838076
1592,102822.54542247193
1593,123896.10382649707
1594,119829.57358606049
1595,128760.89871593242
1596,230297.97663011245
1597,193210.62532447703
1598,210059.25041678344
1599,197708.2930847438
1600,204129.41663344493
1601,33666.937693201064
1602,135852.52202537365
1603,81484.55651931379
1604,240402.75244069548
1605,222472.30283140772
1606,161296.57261174585
1607,198804.7306266414
1608,224251.6354944885
1609,212788.2261934376
1610,169323.42304725185
1611,130174.89041352365
1612,172781.92813818192
1613,165410.73074064788
1614,113313.3527462664
1615,63088.05267824672
1616,75801.0301348182
1617,82247.46273999789
1618,129021.55334004614
1619,128719.13984957075
1620,176641.3545144926
1621,139596.379347933
1622,167290.0079480168
1623,235259.51482779597
1624,189604.52039829688
1625,135819.39163588628
1626,167118.73506471395
1627,183693.4507428739
1628,249146.81681329905
1629,189349.4170757319
1630,294552.524642327
1631,229626.1668047937
1632,252333.7490421204
1633,185638.59293034667
1634,178601.7157872174
1635,176066.2801584216
1636,173443.32947224667
1637,173980.9104431523
1638,222264.2564645589
1639,189252.4622972573
1640,240676.1144255062
1641,194527.79095703448
1642,247308.695846986
1643,246182.768841186
1644,232853.15899847454
1645,185016.55411498214
1646,166209.05720383243
1647,175372.91328746002
1648,140030.73739319114
1649,135673.61949546635
1650,105835.94489599214
1651,117646.99767896114
1652,92842.72910824932
1653,92998.28566034774
1654,152238.53624787243
1655,135740.8690310714
1656,135398.12838675972
1657,152473.1663701116
1658,151027.76286571345
1659,136619.92359878487
1660,155834.63232277764
1661,354769.9240358571
1662,331491.952030399
1663,326568.22281598905
1664,377443.3510147537
1665,309915.342303723
1666,278787.41057676746
1667,298258.5862697885
1668,318870.06590623845
1669,288870.0960991294
1670,318036.16377576103
1671,256285.70390802686
1672,350000.3094932381
1673,284414.7903729941
1674,264041.3810471413
1675,218408.43615435873
1676,206042.47005289447
1677,229387.84483885637
1678,394514.1287998153
1679,314065.87620203325
1680,317724.9344309828
1681,286196.65532886644
1682,264175.08564759535
1683,226382.61296091333
1684,189280.00485613264
1685,182855.17098710424
1686,188414.90682357858
1687,192983.84585655818
1688,203533.56123231814
